dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,dwin,stcpb,dtcpb,tcprtt,synack,ackdat,smeansz,dmeansz,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
0.000009,tcp,-,ACK,48,48,48,48,0E+6,63,0,42666.666667,42666.666667,0,0,28.668000,0.009000,26.620286,0.008400,16383,16383,2116150708,2963114974,1424219007.872018,0,1424219007.872018,55,54,0,0,3,3,9,3,3,5,0,0,0,5,3,0
0.001027,tcp,-,ACK,48,87,48,87,303797.4683544303797468354430,62,0,373.904576,677.702045,0,39,0.009000,1.027000,0.008400,0.962812,16383,16383,2116150708,2963114974,1424219007.872027,0,1424219007.872027,54,56,0,0,4,4,10,4,4,6,0,0,0,6,4,0
0.000007,tcp,-,ACK,87,87,87,87,0E+6,253,0,99428.571429,99428.571429,0,0,1.027000,0.007000,0.962812,0.006588,16383,16383,3077388012,1417884196,1424219007.873054,0,1424219007.873054,56,58,0,0,3,5,5,3,3,3,0,0,0,5,3,0
0.039062,tcp,-,ACK,87,40,87,40,0,252,0,17.817828,8.192105,47,0,0.007000,39.062000,0.006588,36.891889,16383,16383,3077388012,1417884196,1424219007.873061,0,1424219007.873061,58,57,0,0,4,6,6,4,4,4,0,0,0,6,4,0
0.000009,tcp,-,FIN,40,40,40,40,0E+6,253,0,35555.555556,35555.555556,0,0,39.062000,0.009000,36.891889,0.008526,16383,16383,621772693,2202533631,1424219007.912123,0,1424219007.912123,57,56,0,0,3,1,7,3,3,3,0,0,0,3,3,0
0.008610,tcp,-,FIN,40,40,40,40,0E+6,252,0,37.166086,37.166086,0,0,0.009000,8.610000,0.008526,8.179500,16383,16383,621772693,2202533631,1424219007.912132,0,1424219007.912132,56,55,0,0,4,2,8,4,4,4,0,0,0,4,4,0
0.000010,tcp,bgp,FIN,40,40,40,40,0E+6,255,0,32000.000000,32000.000000,0,0,8.610000,0.010000,8.179500,0.009524,16383,16383,2202533631,621772693,1424219007.920742,0,1424219007.920742,55,54,0,0,1,3,1,1,1,1,0,0,0,5,1,0
0.025106,tcp,bgp,FIN,40,40,40,40,0E+6,254,0,12.745957,12.745957,0,0,0.010000,25.106000,0.009524,23.964818,16383,16383,2202533631,621772693,1424219007.920752,0,1424219007.920752,55,54,0,0,2,4,2,2,2,2,0,0,0,6,2,0
0.000009,tcp,bgp,ACK,40,40,40,40,0E+6,255,0,35555.555556,35555.555556,0,0,25.106000,0.009000,23.964818,0.008609,16383,16383,2202533632,621772694,1424219007.945858,0,1424219007.945858,54,53,0,0,3,7,3,3,3,3,0,0,0,7,3,0
0.008745,tcp,bgp,ACK,40,66,40,66,23785.02001143510577472841624,254,0,36.592338,60.377358,0,26,0.009000,8.745000,0.008609,8.380625,16383,16383,2202533632,621772694,1424219007.945867,0,1424219007.945867,53,54,0,0,4,8,4,4,4,4,0,0,0,8,4,0
0.000009,tcp,imap,PSH,66,66,66,66,0E+6,63,0,58666.666667,58666.666667,0,0,8.745000,0.009000,8.380625,0.008640,16383,16383,1417884196,3077388059,1424219007.954612,0,1424219007.954612,54,54,0,0,5,5,11,5,5,5,0,0,0,9,5,0
0.010190,tcp,imap,PSH,66,40,66,40,0,62,0,51.815505,31.403337,26,0,0.009000,10.190000,0.008640,9.798077,16383,16383,1417884196,3077388059,1424219007.954621,0,1424219007.954621,54,54,0,0,6,6,12,6,6,6,0,0,0,10,6,0
0.000007,tcp,-,ACK,40,40,40,40,0E+6,253,0,45714.285714,45714.285714,0,0,10.190000,0.007000,9.798077,0.006741,16383,16383,621772694,2202533632,1424219007.964811,0,1424219007.964811,54,53,0,0,5,9,9,5,5,5,0,0,0,5,5,0
0.068675,tcp,-,ACK,40,1500,40,1500,170076.4470331270476883873316,252,0,4.659629,174.736076,0,1460,0.007000,68.675000,0.006741,66.222321,16383,16383,621772694,2202533632,1424219007.964818,0,1424219007.964818,53,105,0,0,6,10,10,6,6,6,0,0,0,6,6,0
0.000010,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,1200000.000000,1200000.000000,0,0,68.675000,0.010000,66.222321,0.009655,16383,16383,3077388059,1417884222,1424219008.033493,0,1424219008.033493,103,153,0,0,5,11,11,5,5,5,0,0,0,7,5,0
0.000009,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,1333333.333333,1333333.333333,0,0,0.010000,0.009000,0.009655,0.008700,16383,16383,3077388059,1417884222,1424219008.033503,0,1424219008.033503,150,198,0,0,6,12,12,6,6,6,0,0,0,8,6,0
0.000002,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,6000000.000000,6000000.000000,0,0,0.009000,0.002000,0.008700,0.001935,16383,16383,3077389519,1417884222,1424219008.033512,0,1424219008.033512,193,240,0,0,7,13,13,7,7,7,0,0,0,9,7,0
0.000189,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,63492.063492,63492.063492,0,0,0.002000,0.189000,0.001935,0.183094,16383,16383,3077389519,1417884222,1424219008.033514,0,1424219008.033514,234,279,0,0,8,14,14,8,8,8,0,0,0,10,8,0
0.000006,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,2000000.000000,2000000.000000,0,0,0.189000,0.006000,0.183094,0.005818,16383,16383,3077390979,1417884222,1424219008.033703,0,1424219008.033703,273,316,0,0,9,15,15,9,9,9,0,0,0,11,9,0
0.000020,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,600000.000000,600000.000000,0,0,0.006000,0.020000,0.005818,0.019412,16383,16383,3077390979,1417884222,1424219008.033709,0,1424219008.033709,309,351,0,0,10,16,16,10,10,10,0,0,0,12,10,0
0.000002,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,6000000.000000,6000000.000000,0,0,0.020000,0.002000,0.019412,0.001943,16383,16383,3077392439,1417884222,1424219008.033729,0,1424219008.033729,343,384,0,0,11,17,17,11,11,11,0,0,0,13,11,0
0.000205,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,58536.585366,58536.585366,0,0,0.002000,0.205000,0.001943,0.199306,16383,16383,3077392439,1417884222,1424219008.033731,0,1424219008.033731,375,415,0,0,12,18,18,12,12,12,0,0,0,14,12,0
0.000006,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,2000000.000000,2000000.000000,0,0,0.205000,0.006000,0.199306,0.005838,16383,16383,3077393899,1417884222,1424219008.033936,0,1424219008.033936,405,444,0,0,13,19,19,13,13,13,0,0,0,15,13,0
0.000401,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,29925.187032,29925.187032,0,0,0.006000,0.401000,0.005838,0.390447,16383,16383,3077393899,1417884222,1424219008.033942,0,1424219008.033942,434,472,0,0,14,20,20,14,14,14,0,0,0,16,14,0
0.000005,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,2400000.000000,2400000.000000,0,0,0.401000,0.005000,0.390447,0.004872,16383,16383,3077395359,1417884222,1424219008.034343,0,1424219008.034343,461,498,0,0,15,21,21,15,15,15,0,0,0,17,15,0
0.000216,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,55555.555556,55555.555556,0,0,0.005000,0.216000,0.004872,0.210600,16383,16383,3077395359,1417884222,1424219008.034348,0,1424219008.034348,487,523,0,0,16,22,22,16,16,16,0,0,0,18,16,0
0.000007,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,1714285.714286,1714285.714286,0,0,0.216000,0.007000,0.210600,0.006829,16383,16383,3077396819,1417884222,1424219008.034564,0,1424219008.034564,512,547,0,0,17,23,23,17,17,17,0,0,0,19,17,0
0.000504,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,23809.523810,23809.523810,0,0,0.007000,0.504000,0.006829,0.492000,16383,16383,3077396819,1417884222,1424219008.034571,0,1424219008.034571,536,570,0,0,18,24,24,18,18,18,0,0,0,20,18,0
0.000006,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,2000000.000000,2000000.000000,0,0,0.504000,0.006000,0.492000,0.005860,16383,16383,3077398279,1417884222,1424219008.035075,0,1424219008.035075,558,591,0,0,19,25,25,19,19,19,0,0,0,21,19,0
0.000110,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,109090.909091,109090.909091,0,0,0.006000,0.110000,0.005860,0.107500,16383,16383,3077398279,1417884222,1424219008.035081,0,1424219008.035081,579,612,0,0,20,26,26,20,20,20,0,0,0,22,20,0
0.000005,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,2400000.000000,2400000.000000,0,0,0.110000,0.005000,0.107500,0.004889,16383,16383,3077399739,1417884222,1424219008.035191,0,1424219008.035191,600,632,0,0,21,27,27,21,21,21,0,0,0,23,21,0
0.001578,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,7604.562738,7604.562738,0,0,0.005000,1.578000,0.004889,1.543696,16383,16383,3077399739,1417884222,1424219008.035196,0,1424219008.035196,619,651,0,0,22,28,28,22,22,22,0,0,0,24,22,0
0.000011,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,1090909.090909,1090909.090909,0,0,1.578000,0.011000,1.543696,0.010766,16383,16383,3077401199,1417884222,1424219008.036774,0,1424219008.036774,638,669,0,0,23,29,29,23,23,23,0,0,0,25,23,0
0.000024,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,500000.000000,500000.000000,0,0,0.011000,0.024000,0.010766,0.023500,16383,16383,3077401199,1417884222,1424219008.036785,0,1424219008.036785,656,686,0,0,24,30,30,24,24,24,0,0,0,26,24,0
0.000003,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,4000000.000000,4000000.000000,0,0,0.024000,0.003000,0.023500,0.002939,16383,16383,3077402659,1417884222,1424219008.036809,0,1424219008.036809,673,703,0,0,25,31,31,25,25,25,0,0,0,27,25,0
0.000003,tcp,-,ACK,1500,317,1500,317,0,252,0,4000000.000000,845333.333333,1183,0,0.003000,0.003000,0.002939,0.002940,16383,16383,3077402659,1417884222,1424219008.036812,0,1424219008.036812,690,695,0,0,26,32,32,26,26,26,0,0,0,28,26,0
0.000001,tcp,-,ACK,317,317,317,317,0E+6,253,0,2536000.000000,2536000.000000,0,0,0.003000,0.001000,0.002940,0.000980,16383,16383,3077404119,1417884222,1424219008.036815,0,1424219008.036815,683,688,0,0,27,33,33,27,27,27,0,0,0,29,27,0
0.041482,tcp,-,ACK,317,40,317,40,0,252,0,61.134950,7.714189,277,0,0.001000,41.482000,0.000980,40.684269,16383,16383,3077404119,1417884222,1424219008.036816,0,1424219008.036816,676,675,0,0,28,34,34,28,28,28,0,0,0,30,28,0
0.000009,tcp,imap,ACK,40,40,40,40,0E+6,63,0,35555.555556,35555.555556,0,0,41.482000,0.009000,40.684269,0.008830,16383,16383,1417884222,3077396819,1424219008.078298,0,1424219008.078298,664,663,0,0,7,5,13,7,7,7,0,0,0,11,7,0
0.060907,tcp,imap,ACK,40,1500,40,1500,191767.7771027960661336135420,62,0,5.253912,197.021689,0,1460,0.009000,60.907000,0.008830,59.779093,16383,16383,1417884222,3077396819,1424219008.078307,0,1424219008.078307,652,679,0,0,8,6,14,8,8,8,0,0,0,12,8,0
0.000009,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,1333333.333333,1333333.333333,0,0,60.907000,0.009000,59.779093,0.008836,16383,16383,3077404396,1417884222,1424219008.139214,0,1424219008.139214,667,694,0,0,29,35,35,29,29,29,0,0,0,31,29,0
0.000536,tcp,-,ACK,1500,1500,1500,1500,0E+6,252,0,22388.059701,22388.059701,0,0,0.009000,0.536000,0.008836,0.526429,16383,16383,3077404396,1417884222,1424219008.139223,0,1424219008.139223,682,708,0,0,30,36,36,30,30,30,0,0,0,32,30,0
0.000008,tcp,-,ACK,1500,1500,1500,1500,0E+6,253,0,1500000.000000,1500000.000000,0,0,0.536000,0.008000,0.526429,0.007860,16383,16383,3077405856,1417884222,1424219008.139759,0,1424219008.139759,697,722,0,0,31,37,37,31,31,31,0,0,0,33,31,0
0.000004,tcp,-,ACK,1500,936,1500,936,0,252,0,3000000.000000,1872000.000000,564,0,0.008000,0.004000,0.007860,0.003931,16383,16383,3077405856,1417884222,1424219008.139767,0,1424219008.139767,710,726,0,0,32,38,38,32,32,32,0,0,0,34,32,0
0.000002,tcp,-,ACK,936,936,936,936,0E+6,253,0,3744000.000000,3744000.000000,0,0,0.004000,0.002000,0.003931,0.001966,16383,16383,3077407316,1417884222,1424219008.139771,0,1424219008.139771,714,729,0,0,33,39,39,33,33,33,0,0,0,35,33,0
0.026507,tcp,-,ACK,936,40,936,40,0,252,0,282.491417,12.072283,896,0,0.002000,26.507000,0.001966,26.065217,16383,16383,3077407316,1417884222,1424219008.139773,0,1424219008.139773,718,718,0,0,34,40,40,34,34,34,0,0,0,36,34,0
0.000009,tcp,imap,ACK,40,40,40,40,0E+6,63,0,35555.555556,35555.555556,0,0,26.507000,0.009000,26.065217,0.008852,16383,16383,1417884222,3077405856,1424219008.166280,0,1424219008.166280,707,707,0,0,9,7,15,9,9,9,0,0,0,13,9,0
0.022075,tcp,imap,ACK,40,71,40,71,11234.42808607021517553793884,62,0,14.496036,25.730464,0,31,0.009000,22.075000,0.008852,21.718952,16383,16383,1417884222,3077405856,1424219008.166289,0,1424219008.166289,696,696,0,0,10,8,16,10,10,10,0,0,0,14,10,0
0.000009,tcp,ftp,PSH,71,71,71,71,0E+6,63,0,63111.111111,63111.111111,0,0,22.075000,0.009000,21.718952,0.008857,16383,16383,1107119178,1047442890,1424219008.188364,0,1424219008.188364,686,686,0,0,3,7,17,3,3,7,0,1,0,7,3,0
0.000766,tcp,ftp,PSH,71,40,71,40,0,62,0,741.514360,417.754569,31,0,0.009000,0.766000,0.008857,0.754031,16383,16383,1107119178,1047442890,1424219008.188373,0,1424219008.188373,677,676,0,0,4,8,18,4,4,8,0,1,0,8,4,0
0.000009,tcp,imap,FIN,40,40,40,40,0E+6,63,0,35555.555556,35555.555556,0,0,0.766000,0.009000,0.754031,0.008862,16383,16383,1417884222,3077408212,1424219008.189139,0,1424219008.189139,667,666,0,0,11,1,19,11,11,11,0,0,0,15,11,0
0.000006,tcp,imap,FIN,40,48,40,48,10666666.66666666666666666667,62,0,53333.333333,64000.000000,0,8,0.009000,0.006000,0.008862,0.005909,16383,16383,1417884222,3077408212,0,0,0,657,657,0,0,12,2,20,12,12,12,0,0,0,16,12,0
0.000001,tcp,bgp,SYN,48,48,48,48,0E+6,255,0,384000.000000,384000.000000,0,0,0.006000,0.001000,0.005909,0.000985,16383,16383,3984155503,0,0,0,0,648,648,0,0,5,3,5,5,1,5,0,0,0,17,5,0
0.000127,tcp,bgp,SYN,48,40,48,40,0,254,0,3023.622047,2519.685039,8,0,0.001000,0.127000,0.000985,0.125132,16383,16383,3984155503,0,0,0,0,639,639,0,0,6,4,6,6,2,6,0,0,0,18,6,0
0.000003,tcp,-,FIN,40,40,40,40,0E+6,253,0,106666.666667,106666.666667,0,0,0.127000,0.003000,0.125132,0.002957,16383,16383,3077408212,1417884222,1424219008.189282,0,1424219008.189282,631,630,0,0,35,5,41,35,35,35,0,0,0,37,35,0
0.118119,tcp,-,FIN,40,40,40,40,0E+6,252,0,2.709132,2.709132,0,0,0.003000,118.119000,0.002957,116.431586,16383,16383,3077408212,1417884222,1424219008.189285,0,1424219008.189285,622,622,0,0,36,6,42,36,36,36,0,0,0,38,36,0
0.000009,tcp,imap,ACK,40,40,40,40,0E+6,63,0,35555.555556,35555.555556,0,0,118.119000,0.009000,116.431586,0.008873,16383,16383,1417884223,3077408213,1424219008.307404,0,1424219008.307404,614,614,0,0,13,9,21,13,13,13,0,0,0,19,13,0
0.001001,tcp,imap,ACK,40,40,40,40,0E+6,62,0,319.680320,319.680320,0,0,0.009000,1.001000,0.008873,0.987097,16383,16383,1417884223,3077408213,1424219008.307413,0,1424219008.307413,606,606,0,0,14,10,22,14,14,14,0,0,0,20,14,0
0.000006,tcp,-,ACK,40,40,40,40,0E+6,253,0,53333.333333,53333.333333,0,0,1.001000,0.006000,0.987097,0.005918,16383,16383,3077408213,1417884223,1424219008.308414,0,1424219008.308414,598,598,0,0,37,41,43,37,37,37,0,0,0,39,37,0
0.000066,tcp,-,ACK,40,48,40,48,969696.9696969696969696969697,252,0,4848.484848,5818.181818,0,8,0.006000,0.066000,0.005918,0.065108,16383,16383,3077408213,1417884223,0,0,0,591,591,0,0,38,42,44,38,38,38,0,0,0,40,38,0
0.000004,tcp,-,SYN,48,48,48,48,0E+6,253,0,96000.000000,96000.000000,0,0,0.066000,0.004000,0.065108,0.003947,16383,16383,1796040391,3984155504,0,0,0,584,583,0,0,1,5,45,1,7,7,0,0,0,7,1,0
0.053603,tcp,-,SYN,48,48,48,48,0E+6,252,0,7.163778,7.163778,0,0,0.004000,53.603000,0.003947,52.897697,16383,16383,1796040391,3984155504,0,0,0,576,576,0,0,2,6,46,2,8,8,0,0,0,8,2,0
0.000010,tcp,bgp,ACK,48,48,48,48,0E+6,255,0,38400.000000,38400.000000,0,0,53.603000,0.010000,52.897697,0.009870,16383,16383,3984155504,1796040392,1424219008.362093,0,1424219008.362093,570,569,0,0,7,43,7,7,3,7,0,0,0,21,7,0
0.074890,tcp,bgp,ACK,48,85,48,85,3952.463613299505942048337562,254,0,5.127520,9.079984,0,37,0.010000,74.890000,0.009870,73.929872,16383,16383,3984155504,1796040392,1424219008.362103,0,1424219008.362103,563,563,0,0,8,44,8,8,4,8,0,0,0,22,8,0
0.000009,tcp,bgp,ACK,85,85,85,85,0E+6,255,0,75555.555556,75555.555556,0,0,74.890000,0.009000,73.929872,0.008886,16383,16383,3984155504,1796040392,1424219008.436993,0,1424219008.436993,557,557,0,0,9,45,9,9,5,9,0,0,0,23,9,0
0.052684,tcp,bgp,ACK,85,40,85,40,0,254,0,12.907144,6.073950,45,0,0.009000,52.684000,0.008886,52.025450,16383,16383,3984155504,1796040392,1424219008.437002,0,1424219008.437002,551,551,0,0,10,46,10,10,6,10,0,0,0,24,10,0
0.000009,tcp,-,ACK,40,40,40,40,0E+6,253,0,35555.555556,35555.555556,0,0,52.684000,0.009000,52.025450,0.008889,16383,16383,1047442890,1107119209,1424219008.489686,0,1424219008.489686,545,544,0,0,1,47,3,1,1,3,1,0,0,41,1,0
0.031880,tcp,-,ACK,40,40,40,40,0E+6,252,0,10.037641,10.037641,0,0,0.009000,31.880000,0.008889,31.491220,16383,16383,1047442890,1107119209,1424219008.489695,0,1424219008.489695,539,538,0,0,2,48,4,2,2,4,1,0,0,42,2,0
0.000010,tcp,-,FIN,40,40,40,40,0E+6,253,0,32000.000000,32000.000000,0,0,31.880000,0.010000,31.491220,0.009880,16383,16383,1796040392,3984155549,1424219008.521575,0,1424219008.521575,533,532,0,0,3,7,47,3,9,9,0,0,0,9,3,0
0.008498,tcp,-,FIN,40,40,40,40,0E+6,252,0,37.655919,37.655919,0,0,0.010000,8.498000,0.009880,8.396833,16383,16383,1796040392,3984155549,1424219008.521585,0,1424219008.521585,527,526,0,0,4,8,48,4,10,10,0,0,0,10,4,0
0.000009,tcp,bgp,FIN,40,40,40,40,0E+6,255,0,35555.555556,35555.555556,0,0,8.498000,0.009000,8.396833,0.008894,16383,16383,3984155549,1796040392,1424219008.530083,0,1424219008.530083,521,521,0,0,11,9,11,11,7,11,0,0,0,25,11,0
0.018412,tcp,bgp,FIN,40,40,40,40,0E+6,254,0,17.379970,17.379970,0,0,0.009000,18.412000,0.008894,18.197907,16383,16383,3984155549,1796040392,1424219008.530092,0,1424219008.530092,515,515,0,0,12,10,12,12,8,12,0,0,0,26,12,0
0.000009,tcp,bgp,ACK,40,40,40,40,0E+6,255,0,35555.555556,35555.555556,0,0,18.412000,0.009000,18.197907,0.008897,16383,16383,3984155550,1796040393,1424219008.548504,0,1424219008.548504,510,510,0,0,13,49,13,13,9,13,0,0,0,27,13,0
0.021169,tcp,bgp,ACK,40,40,40,40,0E+6,254,0,15.116444,15.116444,0,0,0.009000,21.169000,0.008897,20.928443,16383,16383,3984155550,1796040393,1424219008.548513,0,1424219008.548513,505,504,0,0,14,50,14,14,10,14,0,0,0,28,14,0
0.000009,tcp,-,ACK,40,40,40,40,0E+6,253,0,35555.555556,35555.555556,0,0,21.169000,0.009000,20.928443,0.008899,16383,16383,1796040393,3984155550,1424219008.569682,0,1424219008.569682,499,499,0,0,5,51,49,5,11,11,0,0,0,11,5,0
0.057874,tcp,-,ACK,40,48,40,48,1105.850641047793482392784325,252,0,5.529253,6.635104,0,8,0.009000,57.874000,0.008899,57.230956,16383,16383,1796040393,3984155550,0,0,0,494,494,0,0,6,52,50,6,12,12,0,0,0,12,6,0
0.000009,tcp,bgp,SYN,48,48,48,48,0E+6,255,0,42666.666667,42666.666667,0,0,57.874000,0.009000,57.230956,0.008901,16383,16383,2436137549,0,0,0,0,489,489,0,0,15,7,15,15,1,15,0,0,0,29,15,0
0.071147,tcp,bgp,SYN,48,48,48,48,0E+6,254,0,5.397276,5.397276,0,0,0.009000,71.147000,0.008901,70.373663,16383,16383,2436137549,0,0,0,0,485,484,0,0,16,8,16,16,2,16,0,0,0,30,16,0
0.000009,tcp,-,SYN,48,48,48,48,0E+6,253,0,42666.666667,42666.666667,0,0,71.147000,0.009000,70.373663,0.008903,16383,16383,1977154190,2436137550,0,0,0,480,480,0,0,1,9,51,1,13,13,0,0,0,13,1,0
0.057234,tcp,-,SYN,48,48,48,48,0E+6,252,0,6.709299,6.709299,0,0,0.009000,57.234000,0.008903,56.625128,16383,16383,1977154190,2436137550,0,0,0,475,475,0,0,2,10,52,2,14,14,0,0,0,14,2,0
0.000009,tcp,bgp,ACK,48,48,48,48,0E+6,255,0,42666.666667,42666.666667,0,0,57.234000,0.009000,56.625128,0.008905,16383,16383,2436137550,1977154191,1424219008.755964,0,1424219008.755964,471,471,0,0,17,53,17,17,3,17,0,0,0,31,17,0
0.131127,tcp,bgp,ACK,48,85,48,85,2257.353558001021910056662625,254,0,2.928459,5.185812,0,37,0.009000,131.127000,0.008905,129.761094,16383,16383,2436137550,1977154191,1424219008.755973,0,1424219008.755973,466,467,0,0,18,54,18,18,4,18,0,0,0,32,18,0
0.000009,tcp,bgp,ACK,85,85,85,85,0E+6,255,0,75555.555556,75555.555556,0,0,131.127000,0.009000,129.761094,0.008907,16383,16383,2436137550,1977154191,1424219008.887100,0,1424219008.887100,462,463,0,0,19,55,19,19,5,19,0,0,0,33,19,0
0.019960,tcp,bgp,ACK,85,50,85,50,0,254,0,34.068136,20.040080,35,0,0.009000,19.960000,0.008907,19.756327,16383,16383,2436137550,1977154191,1424219008.887109,0,1424219008.887109,459,458,0,0,20,56,20,20,6,20,0,0,0,34,20,0
0.000007,tcp,-,ACK,50,50,50,50,0E+6,253,0,57142.857143,57142.857143,0,0,19.960000,0.007000,19.756327,0.006929,16383,16383,1047442890,1107119209,1424219008.907069,0,1424219008.907069,454,454,0,0,3,57,5,3,3,5,1,0,0,43,3,0
0.090638,tcp,-,ACK,50,40,50,40,0,252,0,4.413160,3.530528,10,0,0.007000,90.638000,0.006929,89.731620,16383,16383,1047442890,1107119209,1424219008.907076,0,1424219008.907076,450,450,0,0,4,58,6,4,4,6,1,0,0,44,4,0
0.000009,tcp,-,FIN,40,40,40,40,0E+6,253,0,35555.555556,35555.555556,0,0,90.638000,0.009000,89.731620,0.008911,16383,16383,1977154191,2436137595,1424219008.997714,0,1424219008.997714,446,446,0,0,3,11,53,3,15,15,0,0,0,15,3,0
